id,ticker,market_cap
392,REG,99
393,REGN,360
394,RF,215
395,RSG,216
396,RMD,132
397,RHI,70
398,ROK,241
399,COL,222
400,ROP,272
401,ROST,298
402,RCL,274
403,SPGI,466
404,CRM,795
405,SBAC,196
406,SCG,52
407,SLB,965
408,SNI,113
409,STX,141
410,SEE,80
411,SRE,262
412,SHW,377
413,SIG,30
414,SPG,481
415,SWKS,185
416,SLG,86
417,SNA,95
418,SO,435
419,LUV,344
420,SWK,245
421,SBUX,765
422,STT,381
423,SRCL,62
424,SYK,575
425,STI,325
426,SYMC,165
427,SYF,289
428,SNPS,128
429,SYY,304
430,TROW,258
431,TPR,142
432,TGT,398
433,TEL,350
434,FTI,142
435,TXN,1003
436,TXT,153
437,BK,561
438,CLX,165
439,COO,113
440,HSY,209
441,MOS,97
442,TRV,389
443,DIS,1578
444,TMO,832
445,TIF,128
446,TWX,742
447,TJX,482
448,TMK,96
449,TSS,157
450,TSCO,85
451,TDG,152
452,TRIP,57
453,FOXA,440
454,FOX,661
455,TSN,270
456,USB,909
457,UDR,91
458,ULTA,133
459,UAA,59
460,UA,54
461,UNP,1015
462,UAL,194
463,UNH,2188
464,UPS,964
465,URI,147
466,UTX,1054
467,UHS,111
468,UNM,113
469,VFC,318
470,VLO,393
471,VAR,107
472,VTR,189
473,VRSN,108
474,VRSK,156
475,VZ,2081
476,VRTX,394
477,VIAB,106
478,V,2700
479,VNO,128
480,VMC,170
481,WMT,3047
482,WBA,709
483,WM,355
484,WAT,161
485,WEC,189
486,WFC,2815
487,HCN,209
488,WDC,248
489,WU,90
490,WRK,164
491,WY,261
492,WHR,122
493,WMB,248
494,WLTW,208
495,WYN,120
496,WYNN,182
497,XEL,216
498,XRX,79
499,XLNX,171
500,XL,108
501,XYL,129
502,YUM,270
503,ZBH,245
504,ZION,107
505,ZTS,360
